name,size,type,alignment,ac,hp,str,dex,con,int,wis,cha
Aarakocra,Medium,Humanoid,NG,12,13,10,14,10,11,12,11
Aboleth,Large,Aberration,LE,17,135,21,9,15,18,15,18
Albino Dwarf Warrior,Medium,Humanoid (Dwarf),ANY,13,30,13,13,17,12,14,11
Aldani (Lobsterfolk),Medium,Monstrosity,LN,14,49,13,8,12,10,14,10
Allip,Medium,Undead,NE,13,40,6,17,10,17,15,16
Almiraj,Small,Beast,U,13,3,2,16,10,2,14,10
Ambush Drake,Medium,Dragon,U,13,22,13,15,14,4,11,6
"Angel, Deva",Medium,Celestial,LG,17,136,18,18,18,17,20,20
"Angel, Planetar",Large,Celestial,LG,19,200,24,20,24,19,22,25
"Angel, Solar",Large,Celestial,LG,21,243,26,22,26,25,25,30
"Animated Object, Armor",Medium,Construct,U,18,33,14,11,13,1,3,1
"Animated Object, Broom of Attack",Small,Construct,U,15,17,10,17,10,1,5,1
"Animated Object, Flying Sword",Small,Construct,U,17,17,12,15,11,1,5,1
"Animated Object, Rug of Smothering",Large,Construct,U,12,33,17,14,10,1,3,1
"Animated Object, Table",Large,Construct,U,15,39,18,8,13,1,3,1
Ankheg,Large,Monstrosity,U,14,39,17,11,13,1,13,6
Assassin Vine,Large,Plant,U,13,85,18,10,16,1,10,1
"Assorted Beast, Aurochs",Large,Beast,U,11,38,20,10,19,2,12,5
"Assorted Beast, Cattle",Large,Beast,U,10,15,18,10,14,2,10,4
"Assorted Beast, Dolphin",Medium,Beast,U,12,11,14,13,13,6,12,7
"Assorted Beast, Swarm of Rot Grubs",Medium,Beast ,U,8,22,2,7,10,1,2,1
Astral Dreadnought,Gargantuan,Monstrosity,U,20,297,28,7,25,5,14,18
Atropal,Huge,Undead (Titan),NE,7,225,19,5,22,25,19,24
Awakened Zurkhwood,Huge,Plant,U,13,59,19,6,15,10,10,7
Azer,Medium,Elemental,LN,17,39,17,12,15,12,13,10
Baba Lysaga's Creeping Hut,Gargantuan,Construct,U,16,263,26,7,20,1,3,3
Balhannoth,Large,Aberration,CE,17,114,17,8,18,6,15,8
Banderhobb,Large,Monstrosity,NE,15,84,20,12,20,11,14,8
Banshee,Medium,Undead,CE,12,58,1,14,10,12,11,17
Barghest,Large,Fiend (Shapechanger),NE,17,90,19,15,14,13,12,14
Basilisk,Medium,Monstrosity,U,15,52,16,8,15,2,8,7
Behir,Huge,Monstrosity,NE,17,168,23,16,18,7,16,12
Beholder,Large,Aberration,LE,18,180,10,14,18,17,15,17
"Beholder, Death Kiss",Large,Aberration,NE,16,161,18,14,18,10,12,10
"Beholder, Death Tyrant",Large,Undead,LE,19,187,10,14,14,19,15,19
"Beholder, Gauth",Medium,Aberration,LE,15,67,10,14,16,15,15,13
"Beholder, Gazer",Tiny,Aberration,NE,13,13,3,17,14,3,10,7
"Beholder, Spectator",Medium,Aberration,LN,14,39,8,14,14,13,14,11
Berbalang,Medium,Aberration,NE,14,38,9,16,9,17,11,10
Black Earth Guard,Medium,Humanoid (Human),NE,18,39,17,11,14,10,10,9
Black Earth Priest,Medium,Humanoid (Human),NE,17,45,15,11,14,12,10,16
"Black Earth, Burrowshark",Medium,Humanoid (Human),NE,18,82,18,12,16,10,11,13
"Black Earth, Sacred Stone Monk",Medium,Humanoid (Human),LE,14,22,13,15,12,10,14,9
"Black Earth, Stonemelder",Medium,Humanoid (Human),NE,17,75,15,10,16,12,11,17
"Blight, Needle",Medium,Plant,NE,12,11,12,12,13,4,8,3
"Blight, Tree",Huge,Plant,NE,15,149,23,10,20,6,10,3
"Blight, Twig",Small,Plant,NE,13,4,6,13,12,4,8,3
"Blight, Vine",Medium,Plant,NE,12,26,15,8,14,5,10,3
Bodak,Medium,Undead,CE,15,58,15,16,15,7,12,12
Boggle,Small,Fey,CN,14,18,8,18,13,6,12,7
Boneclaw,Large,Undead,CE,16,127,19,16,15,13,15,9
Bugbear,Medium,Humanoid,CE,16,27,15,14,13,8,11,9
Bugbear Chief,Medium,Humanoid,CE,17,65,17,14,14,11,12,11
Bulette,Large,Monstrosity,U,17,94,19,11,21,2,10,5
Bullywug,Medium,Humanoid,NE,15,11,12,12,13,7,10,7
Cadaver Collector,Large,Construct,LE,17,189,21,14,20,5,11,8
Cambion,Medium,Fiend,ANY EVIL,19,82,18,18,16,14,12,16
Carrion Crawler,Large,Monstrosity,U,13,51,14,13,16,1,12,5
Catoblepas,Large,Monstrosity,U,14,84,19,12,21,3,4,8
Cave Fisher,Medium,Monstrosity,U,16,58,16,13,14,3,10,3
Centaur,Large,Monstrosity,NG,12,45,18,14,14,9,13,11
Centaur Mummy,Large,Undead,LE,13,85,20,12,16,5,14,12
Chimera,Large,Monstrosity,CE,14,114,19,11,19,3,14,10
Chitine,Small,Monstrosity,CE,14,18,10,14,12,10,10,7
"Chitine, Choldrith",Medium,Monstrosity,CE,15,66,12,16,12,11,14,10
Choker,Small,Aberration,CE,16,13,16,14,13,4,12,7
Chuul,Large,Aberration,CE,16,93,19,10,16,5,11,5
Chwinga,Tiny,Elemental,N,15,5,1,20,10,14,16,16
Cloaker,Large,Aberration,CN,14,78,17,15,12,13,12,14
"Clockwork, Bronze Scout",Medium,Construct,U,13,18,10,16,11,3,14,1
"Clockwork, Iron Cobra",Medium,Construct,U,13,45,12,16,14,3,10,1
"Clockwork, Oaken Bolter",Medium,Construct,U,16,58,12,18,15,3,10,1
"Clockwork, Stone Defender",Medium,Construct,U,16,52,19,10,17,3,10,1
Cockatrice,Small,Monstrosity,U,11,27,6,12,12,2,13,5
Corpse Flower,Large,Plant,CE,12,127,14,14,16,7,15,3
Couatl,Medium,Celestial,LG,19,97,16,20,17,18,20,18
Crag Cat,Large,Beast,U,13,34,16,17,16,4,14,8
Cranium Rat,Tiny,Beast,LE,12,2,2,14,10,4,11,8
"Cranium Rat, Swarm",Medium,Beast ,LE,12,36,9,14,10,15,11,14
Crawling Claw,Tiny,Undead,NE,12,2,13,14,11,5,10,4
Crushing Wave Priest,Medium,Humanoid (Human),NE,13,52,15,11,14,10,11,16
Crushing Wave Reaver,Medium,Humanoid (Human),NE,14,22,15,14,13,10,11,8
"Crushing Wave, Dark Tide Knight",Medium,Humanoid (Human),LE,13,58,17,16,14,10,11,11
"Crushing Wave, Fathomer",Medium,Humanoid (Human),NE,10,52,14,11,14,11,11,15
"Crushing Wave, One-Eyed Shiver",Medium,Humanoid (Human),CE,12,49,10,14,12,13,13,17
Cyclops,Huge,Giant,CN,14,138,22,11,20,8,6,10
Darkling,Small,Fey,CN,14,13,9,16,12,10,12,10
Darkling Elder,Medium,Fey,CN,15,27,13,17,12,10,14,13
Darkmantle,Small,Monstrosity,U,11,22,16,12,13,2,10,5
Death Knight,Medium,Undead,CE,20,180,20,11,20,12,16,18
Deathlock,Medium,Undead,NE,12,36,11,15,10,14,12,16
Deathlock Mastermind,Medium,Undead,NE,13,110,11,16,12,15,12,17
Deathlock Wight,Medium,Undead,NE,12,37,11,14,16,12,14,16
Decapus,Large,Monstrosity,U,14,75,15,14,14,4,10,7
Deep Scion,Medium,Humanoid (Shapechanger),NE,11,67,18,13,16,10,12,14
Demilich,Tiny,Undead,NE,20,80,1,20,10,20,17,20
"Demon Lord, Baphomet",Huge,Fiend (Demon),CE,22,275,30,14,26,18,24,16
"Demon Lord, Demogorgon",Huge,Fiend (Demon),CE,22,406,29,14,26,20,17,25
"Demon Lord, Fraz-Urb'Luu",Large,Fiend (Demon),CE,18,337,29,12,25,26,24,26
"Demon Lord, Graz'Zt",Large,"Fiend (Demon)
Fiend (Shapechanger)",CE,20,346,22,15,21,23,21,26
"Demon Lord, Juiblex",Huge,Fiend (Demon),CE,18,350,24,10,23,20,20,16
"Demon Lord, Orcus",Huge,Fiend (Demon),CE,20,405,27,14,25,20,20,25
"Demon Lord, Yeenoghu",Huge,Fiend (Demon),CE,20,333,29,16,23,15,24,15
"Demon Lord, Zuggtmoy",Large,Fiend (Demon),CE,18,304,22,15,18,20,19,24
"Demon, Abyssal Wretch",Medium,Fiend (Demon),CE,11,18,9,12,11,5,8,5
"Demon, Alkilith",Medium,Fiend (Demon),CE,17,157,12,19,22,6,11,7
"Demon, Armanite",Large,Fiend (Demon),CE,16,84,21,18,21,8,12,13
"Demon, Babau",Medium,Fiend (Demon),CE,16,82,19,16,16,11,12,13
"Demon, Balor",Huge,Fiend (Demon),CE,19,262,26,15,22,20,16,22
"Demon, Barlgura",Large,Fiend (Demon),CE,15,68,18,15,16,7,14,9
"Demon, Bulezau",Medium,Fiend (Demon),CE,14,52,15,14,17,8,9,6
"Demon, Chasme",Large,Fiend (Demon),CE,15,84,15,15,12,11,14,10
"Demon, Draegloth",Large,Fiend (Demon),CE,15,123,20,15,18,13,11,11
"Demon, Dretch",small,Fiend (Demon),CE,11,18,11,11,12,5,8,3
"Demon, Dybbuk",Medium,Fiend (Demon),CE,14,37,6,19,16,16,15,14
"Demon, Glabrezu",Large,Fiend (Demon),CE,17,157,20,15,21,19,17,16
"Demon, Goristro",Huge,Fiend (Demon),CE,19,310,25,11,25,6,13,14
"Demon, Hezrou",Large,Fiend (Demon),CE,16,136,19,17,20,5,12,13
"Demon, Manes",Small,Fiend (Demon),CE,9,9,10,9,13,3,8,4
"Demon, Marilith",Large,Fiend (Demon),CE,18,189,18,20,20,18,16,20
"Demon, Maurezhi",Medium,Fiend (Demon),CE,15,88,14,17,12,11,12,15
"Demon, Maw",Medium,Fiend (Demon),CE,13,33,14,8,13,5,8,5
"Demon, Molydeus",Huge,Fiend (Demon),CE,19,216,28,22,25,21,24,24
"Demon, Nabassu",Medium,Fiend (Demon),CE,18,190,22,14,21,14,15,17
"Demon, Nalfeshnee",Large,Fiend (Demon),LE,18,184,21,10,22,19,12,15
"Demon, Quasit",Tiny,Fiend (Demon),CE,13,7,5,17,10,7,10,10
"Demon, Rutterkin",Medium,Fiend (Demon),CE,12,37,14,15,17,5,12,6
"Demon, Shadow",Medium,Fiend (Demon),CE,13,66,1,17,12,14,13,14
"Demon, Shoosuva",Large,Fiend (Demon),CE,14,110,18,13,17,7,14,9
"Demon, Sibriex",Huge,Fiend (Demon),CE,19,150,10,3,23,25,24,25
"Demon, Vrock",Large,Fiend (Demon),CE,15,104,17,15,18,8,13,8
"Demon, Wastrilith",Large,Fiend (Demon),CE,18,157,19,18,21,19,12,14
"Demon, Yochlol",Medium,Fiend (Demon),CE,15,136,15,14,18,13,15,15
Derro,Small,Humanoid (Derro),CE,13,13,10,14,12,11,5,9
Derro Savant,Small,Humanoid (Derro),CE,13,36,9,14,12,11,5,14
"Devil, Abishai, Black",Medium,Fiend (Devil),LE,15,58,14,17,14,13,16,11
"Devil, Abishai, Blue",Medium,Fiend (Devil),LE,19,195,15,14,17,22,23,18
"Devil, Abishai, Green",Medium,Fiend (Devil),LE,18,187,12,17,16,17,12,19
"Devil, Abishai, Red",Medium,Fiend (Devil),LE,22,255,23,16,19,14,15,19
"Devil, Abishai, White",Medium,Fiend (Devil),LE,15,68,16,11,18,11,12,13
"Devil, Amnizu",Medium,Fiend (Devil),LE,21,202,11,13,16,20,12,18
"Devil, Arch, Bael",Large,Fiend (Devil),LE,18,189,24,17,20,21,24,24
"Devil, Arch, Geryon",Huge,Fiend (Devil),LE,19,300,29,17,22,19,16,23
